carpeta,filename,d_min_dino,resultado_u1,especie_predicha,d_min_centroid,resultado_u2
B,RCNX0377.JPG,0.397194,PASA,Sylvilagus brasiliensis,0.171942,ALTA_CONFIANZA
B,RCNX0379.JPG,0.407325,PASA,Cerdocyon thous,0.204183,BAJA_CONFIANZA
B,RCNX0403.JPG,0.560192,PASA,Myrmecophaga tridactyla,0.242474,BAJA_CONFIANZA
B,RCNX0407.JPG,0.434018,PASA,Cuniculus paca,0.252483,BAJA_CONFIANZA
B,RCNX0408.JPG,0.430571,PASA,Cuniculus paca,0.248211,BAJA_CONFIANZA
B,RCNX0409.JPG,0.495135,PASA,Myrmecophaga tridactyla,0.236705,BAJA_CONFIANZA
B,RCNX0418.JPG,0.452677,PASA,Axis axis,0.182393,ALTA_CONFIANZA
B,RCNX0421.JPG,0.42765,PASA,Cuniculus paca,0.243913,BAJA_CONFIANZA
B,RCNX0425.JPG,0.407,PASA,Lycalopex gymnocerca,0.119525,ALTA_CONFIANZA
B,RCNX0426.JPG,0.420897,PASA,Lycalopex gymnocerca,0.126956,ALTA_CONFIANZA
B,RCNX0430.JPG,0.563305,PASA,Myrmecophaga tridactyla,0.218804,BAJA_CONFIANZA
B,RCNX0433.JPG,0.658186,PASA,Dasypus novemcinctus,0.23646,BAJA_CONFIANZA
B,RCNX0437.JPG,0.468797,PASA,Puma concolor,0.201918,BAJA_CONFIANZA
B,RCNX0445.JPG,0.549324,PASA,Dasypus novemcinctus,0.214971,BAJA_CONFIANZA
B,RCNX0447.JPG,0.50578,PASA,Canis familiaris,0.24684,BAJA_CONFIANZA
B,RCNX0456.JPG,0.454437,PASA,Cuniculus paca,0.247763,BAJA_CONFIANZA
B,RCNX0458.JPG,0.453852,PASA,Sylvilagus brasiliensis,0.205922,BAJA_CONFIANZA
B,RCNX0460.JPG,0.616647,PASA,Myrmecophaga tridactyla,0.224077,BAJA_CONFIANZA
B,RCNX0478.JPG,0.448955,PASA,Panthera onca,0.243638,BAJA_CONFIANZA
B,RCNX0483.JPG,0.412444,PASA,Sylvilagus brasiliensis,0.165497,ALTA_CONFIANZA
B,RCNX0484.JPG,0.458015,PASA,Cuniculus paca,0.236881,BAJA_CONFIANZA
B,RCNX0510.JPG,0.556636,PASA,Crypturellus tataupa,0.197358,BAJA_CONFIANZA
B,RCNX0512.JPG,0.466823,PASA,Cuniculus paca,0.228967,BAJA_CONFIANZA
B,RCNX0523.JPG,0.502141,PASA,Sus scrofa,0.209408,BAJA_CONFIANZA
B,RCNX0525.JPG,0.53972,PASA,Sus scrofa,0.207395,BAJA_CONFIANZA
B,RCNX0528.JPG,0.462872,PASA,Puma concolor,0.209097,BAJA_CONFIANZA
B,RCNX0529.JPG,0.486916,PASA,Cuniculus paca,0.234281,BAJA_CONFIANZA
B,RCNX0531.JPG,0.451079,PASA,Cuniculus paca,0.239155,BAJA_CONFIANZA
B,RCNX0537.JPG,0.465911,PASA,Cuniculus paca,0.229076,BAJA_CONFIANZA
B,RCNX0556.JPG,0.45713,PASA,Panthera onca,0.238921,BAJA_CONFIANZA
B,RCNX0557.JPG,0.452016,PASA,Panthera onca,0.238181,BAJA_CONFIANZA
B,RCNX0562.JPG,0.460609,PASA,Cerdocyon thous,0.214408,BAJA_CONFIANZA
B,RCNX0566.JPG,0.475909,PASA,Cuniculus paca,0.252849,BAJA_CONFIANZA
B,RCNX0577.JPG,0.477067,PASA,Cuniculus paca,0.230076,BAJA_CONFIANZA
B,RCNX0602.JPG,0.438581,PASA,Lycalopex gymnocerca,0.098324,ALTA_CONFIANZA
B,RCNX0613.JPG,0.483319,PASA,Cuniculus paca,0.256526,BAJA_CONFIANZA
B,RCNX0621.JPG,0.504002,PASA,Lycalopex gymnocerca,0.133546,ALTA_CONFIANZA
B,RCNX0623.JPG,0.425477,PASA,Puma concolor,0.174821,ALTA_CONFIANZA
B,RCNX0633.JPG,0.492849,PASA,Cuniculus paca,0.241349,BAJA_CONFIANZA
B,RCNX0637.JPG,0.479884,PASA,Cuniculus paca,0.246954,BAJA_CONFIANZA
B,RCNX0641.JPG,0.433973,PASA,Panthera onca,0.228482,BAJA_CONFIANZA
B,RCNX0661.JPG,0.447213,PASA,Panthera onca,0.225803,BAJA_CONFIANZA
B,RCNX0665.JPG,0.460625,PASA,Sus scrofa,0.210477,BAJA_CONFIANZA
B,RCNX0668.JPG,0.496303,PASA,Cuniculus paca,0.246009,BAJA_CONFIANZA
B,RCNX0704.JPG,0.732498,PASA,Sus scrofa,0.260422,BAJA_CONFIANZA
B,RCNX0714.JPG,0.490284,PASA,Pecari tajacu,0.246526,BAJA_CONFIANZA
