Embedding Model,Precision Outliers,Recall Outliers,F1 Score Outliers,False Alarm Rate,Threshold Distance
dinov2_small,0.5328638497652582,0.4468503937007874,0.4860813704496788,0.09641472868217055,0.9104310761716911
dinov3_base,0.5523809523809524,0.4566929133858268,0.5,0.09108527131782945,0.9292831243529861
dinov2_base,0.6059225512528473,0.5236220472440944,0.5617740232312566,0.08381782945736434,0.9223921869690075
bioclip_v2,0.6750392464678179,0.8464566929133859,0.7510917030567685,0.1002906976744186,0.5302689250258759
siglip2_so400m,0.5024875621890548,0.39763779527559057,0.44395604395604393,0.09689922480620156,0.5428947617968226
resnet50,0.2905027932960894,0.10236220472440945,0.15138282387190685,0.06153100775193798,0.8277436774360724
dinov2_small_gap,0.21666666666666667,0.07677165354330709,0.11337209302325581,0.06831395348837209,0.8404232402840289
dinov3_small,0.4029126213592233,0.16338582677165353,0.23249299719887956,0.059593023255813955,0.9320389848686416
dinov3_small_gap,0.20512820512820512,0.031496062992125984,0.05460750853242321,0.030038759689922482,0.6820178437276555
